Actividad,Tarea,Funcionalidad,Descripción,BASICA (incluida en version gratuita GOB),BASICA (deseable),PREMIUM,ADD-ONs,HH,Mes 1,Mes 2,Mes 3,Mes 4,Mes 5,Mes 6,Mes 7,Mes 8,Mes 9,Mes 10
"Seguridad, escalabilidad y compliance",Multi-tenant y segregación de datos por cliente,,"Adaptación de la plataforma para múltiples explotaciones/clientes, separación lógica de datos, permisos granulares y administración centralizada.",,,X,,72,,,,,,,,,1,1
,Endurecimiento de seguridad y cumplimiento RGPD,,"Revisión de datos personales, medidas de protección, políticas de acceso, retención, respaldos y pruebas de seguridad aplicables.",,,X,,56,,,,,,,,,1,1
,"Auditoría, trazabilidad y bitácoras funcionales",,"Implementación de registro de cambios, bitácoras de actividad, consulta de auditoría y trazabilidad para inspecciones o revisiones internas.",,,X,,56,,,,,,,,,1,1
Integraciones y automatización,Cargas masivas Excel/CSV y validación de errores,,"Implementación de importadores masivos con plantillas, validación de datos, previsualización, control de errores y trazabilidad de carga.",,,X,,62,,,,,,,,,1,1
,"Diseño e implementación de integración SIGPAC, REGA y DIB",,"Diseño de interfaces, mapeos y mecanismos de consulta/importación/exportación para datos oficiales o archivos compatibles cuando aplique.",,,X,,66,,,,,,,,,,1
,API externa y endpoints de integración,,"Construcción de endpoints documentados para futuras integraciones con sensores, maquinaria, ERPs, herramientas de terceros o partners.",,,,X,56,,,,,,,,,,1
App móvil AgroApp,Diseño UX/UI específico para móvil,,"Diseño de flujos móviles para registro en campo, consulta rápida, captura de datos, formularios simples y operación con conectividad variable.",,,X,,56,,,,,,,,,,1
,Setup de proyecto móvil y arquitectura,,"Configuración de aplicación móvil, navegación, estado, conexión con APIs, almacenamiento local y criterios de publicación.",,,X,,82,,,,,,,,,,1
,Desarrollo de flujos móviles agrícolas,,"Implementación móvil para registro de labores, tratamientos, fertilización, consulta de parcelas y captura de datos en terreno.",,,,X,94,,,,,,,,,,1
,Desarrollo de flujos móviles ganaderos,,"Implementación móvil para altas, bajas, movimientos, tratamientos, consulta de DIB y registros operativos ganaderos.",,,,X,94,,,,,,,,,,1
,Modo offline ligero y sincronización,,"Desarrollo de almacenamiento local, cola de sincronización, manejo de conflictos y operación básica sin conexión para terreno.",,,,X,80,,,,,,,,,,1
"QA, pruebas y despliegue",Plan de pruebas y casos funcionales,,"Definición de estrategia de QA, casos de prueba por módulo, matriz de cobertura, datos de prueba y criterios de aceptación.",,,X,,42,,,,,,,1,1,,
,"Pruebas funcionales, regresión y corrección de bugs",,"Ejecución de pruebas funcionales y regresión, registro de incidencias, priorización y soporte a corrección de defectos.",,,X,,96,,,,,,,,1,1,
,"Pruebas de seguridad, rendimiento y estabilidad",,"Pruebas de roles, accesos, rendimiento, estabilidad de APIs, manejo de errores, trazabilidad y validaciones críticas.",,,X,,56,,,,,,,,,1,
,UAT con usuarios piloto y ajustes finales,,"Acompañamiento a pruebas de usuarios, consolidación de feedback, priorización de ajustes y cierre funcional por módulo.",,,X,,64,,,,,,,,,1,1
,"Despliegue productivo, documentación y manuales",,"Preparación de despliegue, manuales de usuario, documentación técnica, guía rápida, checklist de producción y traspaso operacional.",,,X,,52,,,,,,,,,,1
Comercialización y lanzamiento,"Propuesta de valor, pricing y packaging",,"Definición de planes, alcance por versión, narrativa comercial, precios, condiciones de pilotos y criterios de escalamiento.",,,X,,48,,,,,,,,,,1
,"Material comercial, demo y sitio de producto",,"Preparación de presentación, one-pager, guión de demo, casos de uso, mensajes por segmento y material para venta consultiva.",,,X,,48,,,,,,,,,,1
,"Pilotos, feedback de mercado y roadmap post-lanzamiento",,"Ejecución de demos/pilotos, levantamiento de feedback, priorización de backlog y definición de releases posteriores.",,,X,,56,,,,,,,,,,1
